央视,#genre#
山东教育,http://10.11.43.21/PLTV/88888912/224/3221226752/426211906.smil/01.m3u8?fmt=ts2hls
卡酷少儿,http://10.11.43.21/PLTV/88888912/224/3221226651/426212078.smil/01.m3u8?fmt=ts2hls
金鹰卡通,http://10.11.43.21/PLTV/88888912/224/3221226716/426212012.smil/01.m3u8?fmt=ts2hls
嘉佳卡通,http://10.11.43.21/PLTV/88888912/224/3221226704/394902423.smil/01.m3u8?fmt=ts2hls
游戏风云,http://10.11.43.21/PLTV/88888912/224/3221226053/10000100000000060000000000660229_0.smil/01.m3u8?fmt=ts2hls
金色学堂,http://10.11.43.21/PLTV/88888912/224/3221226061/10000100000000060000000000661731_0.smil/01.m3u8?fmt=ts2hls
乐游,http://10.11.43.21/PLTV/88888912/224/3221226059/10000100000000060000000000660271_0.smil/01.m3u8?fmt=ts2hls
动漫秀场,http://10.11.43.21/PLTV/88888912/224/3221226051/10000100000000060000000000660108_0.smil/01.m3u8?fmt=ts2hls
都市剧场,rtsp://10.11.43.21/PLTV/88888912/224/3221226665/426212074.smil
其他,#genre#
精选,http://10.11.43.21/PLTV/88888912/224/3221226065/10000100000000060000000000661884_0.smil/01.m3u8?fmt=ts2hls
爱综艺,rtsp://10.11.43.21/PLTV/88888912/224/3221226694/426212090.smil
爱体育,rtsp://10.11.43.21/PLTV/88888912/224/3221226647/426212098.smil
爱电影,rtsp://10.11.43.21/PLTV/88888912/224/3221226720/426211996.smil
爱大剧,rtsp://10.11.43.21/PLTV/88888912/224/3221226669/426212003.smil
爱生活,rtsp://10.11.43.21/PLTV/88888912/224/3221226764/426212058.smil
谍战剧场,rtsp://10.11.43.21/PLTV/88888912/224/3221226661/426212094.smil
IPTV野外,http://10.11.43.21/PLTV/88888912/224/3221225945/10000100000000060000000000633024_0.smil/01.m3u8?fmt=ts2hls
足球,http://10.11.43.21/PLTV/88888912/224/3221226071/10000100000000060000000000662167_0.smil/01.m3u8?fmt=ts2hls
古装剧场,rtsp://10.11.43.21/PLTV/88888912/224/3221226710/426212046.smil
城市剧场,rtsp://10.11.43.21/PLTV/88888912/224/3221226744/426211940.smil
音乐现场,http://10.11.43.21/PLTV/88888912/224/3221226060/10000100000000060000000000661732_0.smil/01.m3u8?fmt=ts2hls
星影,http://10.11.43.21/PLTV/88888912/224/3221226074/10000100000000060000000000662606_0.smil/01.m3u8?fmt=ts2hls
武侠剧场,rtsp://10.11.43.21/PLTV/88888912/224/3221226718/426211960.smil
动作影院,http://10.11.43.21/PLTV/88888912/224/3221226073/10000100000000060000000000662607_0.smil/01.m3u8?fmt=ts2hls
地理,http://10.11.43.21/PLTV/88888912/224/3221226062/10000100000000060000000000661755_0.smil/01.m3u8?fmt=ts2hls
动画,http://10.11.43.21/PLTV/88888912/224/3221226063/10000100000000060000000000661886_0.smil/01.m3u8?fmt=ts2hls
少儿动画,rtsp://10.11.43.21/PLTV/88888912/224/3221226690/426212102.smil
喜剧影院,http://10.11.43.21/PLTV/88888912/224/3221226070/10000100000000060000000000662147_0.smil/01.m3u8?fmt=ts2hls
早教,http://10.11.43.21/PLTV/88888912/224/3221226680/395120477.smil/01.m3u8?fmt=ts2hls
家庭影院,http://10.11.43.21/PLTV/88888912/224/3221226072/10000100000000060000000000662608_0.smil/01.m3u8?fmt=ts2hls
好学生,http://10.11.43.21/PLTV/88888912/224/3221225822/10000100000000060000000000377237_0.smil/01.m3u8?fmt=ts2hls
魅力时尚,http://10.11.43.21/PLTV/88888912/224/3221226047/10000100000000060000000000660092_0.smil/01.m3u8?fmt=ts2hls
光影,http://10.11.43.21/PLTV/88888912/224/3221226067/10000100000000060000000000662085_0.smil/01.m3u8?fmt=ts2hls
法治,http://10.11.43.21/PLTV/88888912/224/3221226075/10000100000000060000000000662622_0.smil/01.m3u8?fmt=ts2hls
美人,http://10.11.43.21/PLTV/88888912/224/3221225809/10000100000000060000000000331301_0.smil/01.m3u8?fmt=ts2hls
相声小品,http://10.11.43.21/PLTV/88888912/224/3221226052/10000100000000060000000000660107_0.smil/01.m3u8?fmt=ts2hls
收视指南,http://10.11.43.21/PLTV/88888912/224/3221226076/10000100000000060000000000662621_0.smil/01.m3u8?fmt=ts2hls
标清,#genre#
CCTV1,http://10.11.43.21/PLTV/88888912/224/3221226653/426203111.smil/01.m3u8?fmt=ts2hls
CCTV2,http://10.11.43.21/PLTV/88888912/224/3221226657/426201376.smil/01.m3u8?fmt=ts2hls
CCTV4,http://10.11.43.21/PLTV/88888912/224/3221226702/426212000.smil/01.m3u8?fmt=ts2hls
CCTV7,http://10.11.43.21/PLTV/88888912/224/3221226659/426211992.smil/01.m3u8?fmt=ts2hls
CCTV9,http://10.11.43.21/PLTV/88888912/224/3221226673/426211988.smil/01.m3u8?fmt=ts2hls
CCTV10,http://10.11.43.21/PLTV/88888912/224/3221226712/426212082.smil/01.m3u8?fmt=ts2hls
CCTV11,http://10.11.43.21/PLTV/88888912/224/3221226699/426211166.smil/01.m3u8?fmt=ts2hls
